x,y,z
406.2481355,60.37446341,4.843
3897.1308,77.83046341,1.784
3390.932843,74.80809756,2.857
11881.09676,75.93763415,2.075
7663.728453,76.15860976,2.322
2362.461223,74.67570732,1.531
37867.76741,82.25121951,1.859
40945.35975,81.33658537,1.44
3276.65697,70.76321951,2
20663.54687,75.23365854,1.872
17899.21137,76.68326829,2.056
747.3708412,71.62590244,2.175
14456.26163,75.49641463,1.794
4998.280896,72.97560976,1.62
38189.90504,80.58780488,1.75
4011.561189,70.07743902,2.579
671.4279647,59.51058537,4.766
2056.283335,69.4712439,2.027
1409.746646,68.344,2.968
3499.489534,76.4332439,1.263
7095.628021,64.4292439,2.836
5880.649819,74.40187805,1.79
23640.81899,78.80958537,1.874
5031.283322,75.40731707,1.48
510.5537648,58.58846341,5.521
152.6528709,56.69202439,5.948
2743.419478,73.147,2.303
749.5507742,68.21229268,2.635
1024.02053,55.4927561,4.704
38255.26115,81.95660976,1.61
226.4357491,50.65778049,4.286
766.3838411,51.55580488,6.156
9853.531277,81.49619512,1.761
3862.916533,75.78226829,1.562
4657.754283,73.99314634,1.897
596.8860195,63.25685366,4.49
283.4665127,58.65919512,6.006
2066.862891,62.31114634,4.869
6188.144075,79.40270732,1.819
1079.718316,51.55958537,5.001
10547.22103,77.32926829,1.46
21852.08681,80.13156098,1.446
14934.19984,78.27560976,1.46
47534.06877,80.54878049,1.67
1248.831154,62.0155122,3.195
5249.58468,73.50002439,2.48
3808.71278,75.8724878,2.542
1467.313956,71.12170732,3.338
3247.220472,72.75456098,1.931
12271.91157,57.64704878,4.835
12373.59621,77.23902439,1.52
315.7592696,64.03502439,4.395
3900.647034,70.08912195,2.564
38817.55373,81.12926829,1.75
35660.8986,82.37317073,1.99
7469.584186,64.38339024,3.909
435.4208899,60.22843902,5.717
2724.436382,74.66863415,1.816
39851.51993,80.84390244,1.39
763.9381157,61.31163415,4.168
18403.68622,81.28536585,1.3
6731.737128,73.36631707,2.149
2357.038126,71.72241463,3.211
295.2917643,58.73343902,5.013
420.1944494,55.16004878,4.835
492.2031989,62.74743902,3.033
1661.507053,73.13570732,2.382
34222.43948,83.9804878,1.234
11930.78265,75.87317073,1.35
59431.42614,82.06097561,1.93
1233.949344,68.01380488,2.427
1853.807525,68.8884878,2.463
3541.428318,75.38931707,1.707
2438.561572,69.39968293,4.566
52218.67949,81.15365854,1.96
24599.66641,82.15365854,3.08
28707.24357,82.6902439,1.39
4112.814849,75.6535122,2.046
37595.17093,83.58780488,1.42
2878.21564,74.05214634,3.422
5580.855753,71.62,2.74
658.7054502,61.57636585,4.334
1130.097418,65.95168293,3.73
24565.60749,82.15585366,1.205
2835.777118,71.09756098,2.1
26532.57863,74.58502439,2.105
637.1204293,70.40243902,3.2
818.3296451,66.11736585,2.991
9654.604652,74.18780488,1.52
7256.510338,79.37309756,1.714
988.326754,49.70058537,3.185
226.689745,60.83441463,4.719
4668.538855,71.71612195,2.467
11096.2625,73.96585366,1.59
82923.56372,82.20731707,1.55
52255.71674,80.55309756,1.243
3979.188327,75.34239024,1.524
271.5926051,65.08560976,4.409
274.3455355,62.72163415,5.129
7365.239423,74.71829268,1.944
5221.948212,76.77282927,2.123
458.2249064,57.98626829,6.229
876.8173011,63.01658537,4.603
7116.594273,74.19439024,1.43
8521.892362,76.72185366,2.243
2264.274941,69.10107317,3.243
1190.700753,71.45587805,1.256
1882.379715,69.46390244,2.655
4770.388335,76.18070732,1.689
2546.594397,74.01609756,2.515
535.7258559,55.02595122,5.359
4674.629359,64.68019512,3.522
426.4130025,69.60468293,2.222
43333.77193,81.30487805,1.68
29626.62998,81.40487805,1.92
1453.806715,74.81014634,2.264
293.1878847,61.4584878,7.599
1098.040084,52.75426829,5.65
67223.02876,81.75121951,1.78
11004.32437,77.08509756,2.774
813.7064103,66.18336585,3.617
8209.832043,77.59514634,2.444
1193.020703,62.60692683,3.757
2093.744228,72.92170732,2.542
4123.581629,74.52553659,2.455
1662.074123,68.26563415,2.977
11252.80308,77.25365854,1.29
18384.90094,80.72195122,1.21
62168.77271,78.59680488,2.026
6258.600074,75.06341463,1.41
6843.924656,70.36585366,1.7
445.6163011,63.96565854,3.898
2679.074948,73.51182927,4.086
1070.602935,66.38460976,4.576
16972.31773,74.33721951,2.765
813.502509,66.37258537,5.09
4245.575047,75.53414634,1.43
15697.5905,73.22926829,2.3
513.4178832,50.87878049,4.626
38087.66114,82.64634146,1.25
15797.1039,76.71463415,1.34
19172.41763,80.5195122,1.55
1119.19164,67.93080488,3.966
6087.903102,57.18212195,2.363
25220.87841,83.07804878,1.27
2045.86494,74.79480488,2.083
5658.561161,75.04685366,1.89
5561.162413,72.93685366,1.974
972.7527987,63.45853659,4.353
4663.25635,71.15143902,2.36
2526.462562,48.93473171,3.266
46035.60609,81.95609756,1.89
59310.16318,82.84878049,1.52
507.3894988,69.59797561,3.49
588.3188742,64.94390244,5.145
3768.787656,74.42202439,1.512
769.2014356,68.25914634,5.1
429.778746,59.65580488,4.584
2545.281897,72.79219512,3.722
14369.30183,70.44056098,1.778
3953.424163,74.14390244,2.2
8864.74318,75.1635122,2.07
3873.76814,65.59853659,2.301
435.4934431,58.46641463,5.775
2081.056375,71.18658537,1.498
27467.97259,77.36817073,1.784
41458.29887,81.05609756,1.83
46405.24706,78.94146341,1.8615
8016.680636,76.98614634,2.02
959.5736065,68.33902439,2.2
2090.059245,71.91831707,3.347
6088.02729,74.23619512,2.365
1077.922158,75.62912195,1.961
1389.881434,72.90402439,4.176
1032.803298,60.04704878,5.353
458.1029041,57.49831707,3.923
